"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Công ty CPVT Newway",10,0,0,0,"12926540"
"Công ty CPVT Đông Anh",3,0,0,0,"17040414"
"Công ty Cổ phần Công nghiệp Quảng An 1",12,0,0,0,"17587405"
"Công ty Cổ phần Dịch vụ và Vận tải Bảo Châu",2,0,0,0,"18179671"
"Công ty Cổ phần Khu du lịch sinh thái Hang Gợp",2,0,0,0,"20655705"
"Công ty Cổ phần Phương Trang - FUTA Bus Lines",1,0,0,0,"18982756"
"Công ty Cổ phần Phương Trinh",2,0,0,0,"17439371"
"Công ty Cổ phần Tập đoàn Côn Đảo",2,0,0,0,"19978123"
"Công ty Cổ phần Vận tải & Dịch vụ Liên Ninh",3,0,0,0,"12726060"
"Công ty Cổ phần Vận tải Long An;Hợp tác xã Xe khách liên tỉnh Miền Tây;Cty Cổ Phần Vận Tải Long An;Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng",2,0,0,0,"17448147"
"Công ty Cổ phần Vận tải Thành phố",6,0,0,0,"17438210"
"Công ty Cổ phần Vận tải Thành phố;Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng",2,0,0,0,"17445019"
"Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh",4,0,0,0,"12989441"
"Công ty Cổ phần Vận tải Ô tô Hà Nam",4,0,0,0,"18180897"
"Công ty Cổ phần Vận tải Đông Anh",1,0,0,0,"17040415"
"Công ty Cổ phần Xe Khách Hà Nội",4,0,0,0,"12764282"
"Công ty Cổ phần Xe buýt Phương Trang - FUTA Bus Lines",1,0,0,0,"17501861"
"Công ty Cổ phần Xe khách Hà Nội",11,0,0,0,"17044792"
"Công ty Cổ phần Xe khách Phương Trang - FUTA Bus Lines",248,0,0,0,"11506628"
"Công ty Cổ phần Xe khách Sài Gòn",10,0,0,0,"17375834"
"Công ty Cổ phần Xe điện Hà Nội",1,0,0,0,"12996764"
