"network","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Woro-woro de Yopougon",116,0,0,0,"10408834"
"Zone Suburbaine",51,0,0,0,"12363086"
"Zone Urbaine",110,0,0,0,"12362414"
"bus number",1,0,0,0,"7848044"
"cars",1,0,0,0,"7485322"
"hotel",2,0,0,0,"10795175"
"lcn",65,0,0,0,"12870553"
"local",12,0,0,0,"14585788"
"monbus",170,0,0,0,"10087879"
"monbus / Navette",46,0,0,0,"10189317"
"non",1,0,0,0,"4153791"
"ordinaire",14,0,0,0,"11648506"
"sotrama",205,0,0,0,"10244944"
"transport en commun",1,0,0,0,"1434825"
"trô trô",547,0,0,0,"16498283"
"wikidata:Q2454552",1,0,0,0,"7466879"
"za:regional",12,0,0,0,"4512263"
"zone urbain",7,0,0,0,"16067594"
"إيتوزا",99,0,0,0,"11267136"
"حافلة",1,0,0,0,"3304108"
"ساحة أول مايو",1,0,0,0,"7996705"
NA,1066,0,0,0,"10123245"
