"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"BR7 Mobilidade",19,0,0,0,"10268171"
"BRT Curitiba",30,0,0,0,"10396802"
"BRT Sorocaba (Mobibrasil)",9,0,0,0,"11581779"
"Barra do Piraí",6,0,0,0,"11561581"
"Barreto",5,0,0,0,"10918596"
"Batan",2,0,0,0,"5413093"
"Belém Rio",2,0,0,0,"7266252"
"Belém Rio;Transporte Nova Marambaia",1,0,0,0,"9050741"
"Bencivenga",2,0,0,0,"7677222"
"Bencivenga SRL",11,0,0,0,"4420951"
"Benfica",1,0,0,0,"4554675"
"Benitez Bellini S.A.",1,0,0,0,"3472048"
"Bermejo Ltda",1,0,0,0,"2925631"
"Bernardino Rivadavia S.A.T.A.",4,0,0,0,"4719435"
"Biguaçu",4,0,0,0,"4308084"
"Biobus",1,0,0,0,"2333606"
"Biobús",1,0,0,0,"2218296"
"Blanco",46,0,0,0,"10959833"
"Blumob",86,0,0,0,"2287088"
"Bolivariano",1,0,0,0,"1931852"
"Borborema",1,0,0,0,"10605037"
"Borborema (Curado)",1,0,0,0,"10712914"
"Borborema Imperial",9,0,0,0,"10699277"
"Borborema;Vera Cruz",1,0,0,0,"10781700"
"Br Mobilidade (Br Mobilidade Baixada Santista S.A. - SPE)",8,0,0,0,"13107132"
"Brasolisboa",1,0,0,0,"20041816"
"Brasília",8,0,0,0,"10907677"
"Brem Bus",1,0,0,0,"4244506"
"Buenos Aires Bus S. A.",2,0,0,0,"9172073"
"Buquebus",1,0,0,0,"3239942"
"Bus + (Consorcio Bus +)",2,0,0,0,"13099094"
"Bus del Oeste S.A.",2,0,0,0,"6520309"
"BusCaracas",2,0,0,0,"2790312"
"BusCarupano",6,0,0,0,"7147569"
"Buses Alfa S.A.",5,0,0,0,"16033938"
"Buses Armenia S.A.",16,0,0,0,"17960363"
"Buses Base Naval",2,0,0,0,"16754647"
"Buses Campanil",4,0,0,0,"18706672"
"Buses Cóndor",1,0,0,0,"19201317"
"Buses Machalí",1,0,0,0,"2349329"
"Buses Mini Verde",1,0,0,0,"18676519"
"Buses Omega S.A.",8,0,0,0,"20002510"
"Buses Palomares",2,0,0,0,"6861419"
"Buses Puchacay",2,0,0,0,"2479570"
"Buses Ruta Del Mar",1,0,0,0,"18706669"
"Buses Ruta del Mar",2,0,0,0,"2174677"
"Buses San Pedro del Mar",5,0,0,0,"18766424"
"Buses Tucapel",5,0,0,0,"16750969"
"Buses Vule S.A",8,0,0,0,"16825642"
"Buses Vule S.A.",76,0,0,0,"16029678"
"Buses del Gran Valparaíso S.A.",3,0,0,0,"16644777"
"BúsCarúpano",2,0,0,0,"7147132"
"C.A. Metro de Caracas",38,0,0,0,"13382553"
"C.O.VE.MA.S.A.",2,0,0,0,"3421271"
"C10 - MegaBus",17,0,0,0,"17636366"
"C11 - Cotum",14,0,0,0,"17658212"
"C2 - Cono Norte",28,0,0,0,"17607753"
"C3 - Transcayma",14,0,0,0,"17445532"
"C4 - Unión Aqp",28,0,0,0,"17518939"
"C5 - EtraBus",20,0,0,0,"17664787"
"C6 - Unión Grau",12,0,0,0,"17633938"
"C7 - AqpMasivo",18,0,0,0,"17634360"
"C8 - Bus Characato",12,0,0,0,"17636375"
"C9 - Emarsistran",28,0,0,0,"17511052"
"CABALLITO DE TOTORA S.A.",12,0,0,0,"19972130"
"CACL - Agglo'bus Périurbain",10,0,0,0,"13116381"
"CACL - L7/10",4,0,0,0,"17021939"
"CACL - SEMOP",16,0,0,0,"13092746"
"CALIFORNIA S.A.",5,0,0,0,"19946662"
"CAMPIBUS",2,0,0,0,"3671034"
"CARABURO",2,0,0,0,"6287743"
"CATAR",10,0,0,0,"6422901"
"CENTRAL NORTE",32,0,0,0,"6422495"
"CESAR VALLEJO S.A.",2,0,0,0,"19971408"
"CIUDAD DE GUARAMBARE S.R.L.",2,0,0,0,"3996910"
"CMTC",2,0,0,0,"2700194"
"COCOTOG",2,0,0,0,"6292425"
"COETC",21,0,0,0,"5582323"
"COLECTRANS",2,0,0,0,"6429615"
"COME",1,0,0,0,"13749286"
"COMEC",44,0,0,0,"10392211"
"CONDOR MIRADOR",2,0,0,0,"6432771"
"CONSORCIO EXPRESS",103,0,0,0,"15613620"
"CONSORCIO EXPRESS D",6,0,0,0,"15613621"
"CONSORCIO EXPRESS N",5,0,0,0,"15667986"
"CONSORCIO EXPRESS-ESTE ES MI BUS",3,0,0,0,"15985023"
"CONSORCIO EXPRESS-GMOVIL",2,0,0,0,"15668043"
"CONSÓRCIO INTERNORTE DE TRANSPORTES",2,0,0,0,"6504133"
"CONSÓRCIO INTERNORTE DE TRANSPORTES;EMTU",1,0,0,0,"15852394"
"CONSÓRCIO KBPX",2,0,0,0,"4523852"
"COOBUS S.A.",1,0,0,0,"2681697"
"COOMICRO",3,0,0,0,"4270326"
"COOTRACAICE",1,0,0,0,"7910478"
"CORAZÓN DE JESÚS S.A.C.",2,0,0,0,"19972478"
"COSIB SOTRANOR",2,0,0,0,"6289406"
"COSYC Las Toninas Limitada",2,0,0,0,"7147363"
"COVISA S.A.C.",1,0,0,0,"17581709"
"CS Brasil",3,0,0,0,"8428019"
"CUTCSA",15,0,0,0,"5551291"
"Caballito de Totora",2,0,0,0,"17521112"
"Cal Tur",2,0,0,0,"3670018"
"Cal Tur - Chaltén Travel",2,0,0,0,"3670027"
"California",2,0,0,0,"17522670"
"Canasvieiras",9,0,0,0,"2222978"
"Capital del Monte",46,0,0,0,"1560790"
"CarCor",14,0,0,0,"20267771"
"Cardenas S.A. Empresa de Transportes",8,0,0,0,"13594364"
"Carris",9,0,0,0,"14615043"
"Casimiro Zbikoski S.A.",50,0,0,0,"5825756"
"Casimiro Zbikoski S.A. - Tipoka S.A.",20,0,0,0,"3602814"
"Ceferino SRL",1,0,0,0,"17790293"
"Central",1,0,0,0,"1310331"
"Cerro Pozo U.T.E.",1,0,0,0,"15087189"
"Cerro Pozo UTE",2,0,0,0,"14139653"
"Ceturb-GV",16,0,0,0,"13887189"
"Chaltén Travel",2,0,0,0,"3670022"
"Chiguayante Sur",4,0,0,0,"6858239"
"Cidade Canção",1,0,0,0,"16212817"
"Cidade Verce",1,0,0,0,"16215763"
"Cidade Verde",56,0,0,0,"11917808"
"Cidade das Dunas",1,0,0,0,"10179342"
"Cidade das Dunas, Santa Maria",1,0,0,0,"20603019"
"Cidade do Aço",6,0,0,0,"11977921"
"Cidade do Natal",1,0,0,0,"255863"
"Circular Santa Luzia",2,0,0,0,"14888170"
"Circunvalación",1,0,0,0,"9357688"
"Citracom",1,0,0,0,"19725688"
"City Mobilidade Urbana",1,0,0,0,"14404793"
"City Tour Rosario",2,0,0,0,"13336798"
"Ciudad de Cordoba",9,0,0,0,"1900695"
"Ciudad de Gálvez",1,0,0,0,"6446833"
"Ciudad de Limpio S.R.L.",1,0,0,0,"19750963"
"Ciudad de Villeta SRL",1,0,0,0,"17619358"
"Codesa",1,0,0,0,"2575107"
"Coesa",5,0,0,0,"13055472"
"Coflonorte;Concorde;Rapido Duitama",2,0,0,0,"13217723"
